ITEM: TIMESTEP
 1
ITEM: NUMBER OF ATOMS
28 1.614319 8.373303 0.004662
29 3.352552 6.655048 -0.024810
30 3.317583 8.371175 1.685197
31 5.044019 6.655003 1.712930
32 4.984114 8.373979 0.004662
33 6.688112 6.658046 -0.022219
34 6.653229 8.373768 1.682173
35 8.345921 6.637276 1.728852
36 8.313721 8.312188 -0.069158
37 0.009189 -0.001366 3.350023
38 -0.009627 1.714617 5.001060
39 1.670754 -0.053353 5.025870
40 1.651304 1.788607 3.344778
41 3.348431 -0.205276 3.316906
42 3.331558 1.744715 5.011401
43 5.025568 -0.034486 5.028507
44 4.985695 1.795665 3.340504
45 6.688883 -0.209015 3.318295
46 6.669780 1.736194 5.024604
47 8.339405 -0.111909 5.041900
48 8.319170 1.545136 3.340111
49 0.004120 3.297904 3.321082
50 -0.008084 5.047435 5.019336
51 1.682981 3.329583 5.038472
52 1.613060 5.066948 3.343925
53 3.348428 3.294621 3.294025
54 3.319022 5.128274 5.024210
55 5.038452 3.325686 5.046107
56 4.968136 5.269447 3.338061
57 6.691691 3.297076 3.299634
58 6.661933 5.097290 5.025559
59 8.339181 3.308985 5.052632
60 8.303152 4.802343 3.341305
61 0.005497 6.650989 3.317226
62 -0.036704 8.346111 5.014497
63 1.644924 6.657753 5.048174
64 1.600934 8.386664 3.342602
65 3.367121 6.630474 3.284984
66 3.324098 8.366885 5.025811
67 5.065851 6.656976 5.054461
68 4.967591 8.392699 3.342983
69 6.689680 6.631484 3.287858
70 6.659870 8.369145 5.020599
71 8.344394 6.635028 5.069581
72 8.297334 8.299790 3.242559
73 0.008436 -0.011317 6.683868
74 -0.014895 1.705646 8.336088
75 1.682326 -0.039118 8.342642
76 1.619704 1.717987 6.684978
77 3.364756 -0.214395 6.661480
78 3.316637 1.768620 8.339701
79 5.019378 -0.042175 8.335431
80 4.987476 1.806240 6.681006
81 6.689335 -0.238438 6.656377
82 6.667410 1.738435 8.335618
83 8.344153 -0.149021 8.354859
84 8.316618 1.536402 6.681795
85 0.005417 3.232049 6.657096
86 -0.003864 5.029712 8.336080
87 1.683903 3.323321 8.358688
88 1.639984 5.220618 6.681764
89 3.232696 3.292181 6.630429
90 3.330193 5.089527 8.334550
91 5.032930 3.324164 8.357786
92 4.979349 5.129975 6.684522
93 6.690249 3.294304 6.631839
94 6.662134 5.101864 8.332189
95 8.345324 3.306716 8.372004
96 8.302142 4.865230 6.683632
97 0.007767 6.655184 6.658885
98 -0.007709 8.344939 8.338630
99 1.684434 6.658373 8.364618
100 1.627087 8.392789 6.681910
101 3.349902 6.631595 6.631728
102 3.311102 8.367296 8.337287
103 5.046601 6.654309 8.366038
104 4.959502 8.396891 6.683893
105 6.688760 6.629235 6.628791
106 6.652541 8.375241 8.334562
107 8.344146 6.635894 8.384552
108 8.344849 8.341702 6.673342
ITEM: TIMESTEP
 56
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.013360 0.003139 0.026069
2 -0.007717 1.722649 1.661700
3 1.687591 -0.064378 1.681441
4 1.662824 1.728533 0.006416
5 3.340752 -0.082947 0.003820
6 3.337856 1.742455 1.674715
7 5.019473 -0.062983 1.682081
8 5.000052 1.725513 0.005629
9 6.687272 -0.066793 0.001383
10 6.667684 1.744468 1.671171
11 8.337580 -0.172172 1.702306
12 8.326639 1.620984 0.002514
13 0.006361 3.249130 -0.003724
14 0.009048 5.013206 1.676980
15 1.681943 3.322430 1.709367
16 1.665736 5.045388 0.007697
17 3.349299 3.319106 -0.024826
18 3.323776 5.051803 1.680327
19 5.022581 3.321390 1.707363
20 4.992498 5.085015 0.003414
21 6.687826 3.321556 -0.020302
22 6.671193 5.048302 1.679119
23 8.339254 3.299858 1.729442
24 8.322189 4.962651 -0.001028
25 0.006161 6.677261 0.005870
26 -0.017386 8.348584 1.680126
27 1.683060 6.659928 1.708651
28 1.611868 8.374955 0.004841
29 3.353319 6.653948 -0.026173
30 3.316321 8.372834 1.686079
31 5.045936 6.653855 1.715387
32 4.982766 8.375729 0.004834
33 6.688868 6.657025 -0.023515
34 6.651867 8.375532 1.682996
35 8.345955 6.635094 1.732299
36 8.311948 8.310378 -0.073050
37 0.009642 -0.001235 3.350684
38 -0.010004 1.716888 5.000768
39 1.671074 -0.056503 5.027044
40 1.650391 1.794610 3.345162
41 3.349115 -0.217449 3.315596
42 3.331104 1.749225 5.011620
43 5.026637 -0.036168 5.029687
44 4.984579 1.801976 3.340792
45 6.689638 -0.221287 3.317216
46 6.669391 1.740455 5.025589
47 8.339274 -0.118361 5.044038
48 8.317776 1.539078 3.340246
49 0.004427 3.296051 3.320116
50 -0.008503 5.049758 5.019980
51 1.683752 3.329038 5.040416
52 1.610446 5.071457 3.344343
53 3.349118 3.292197 3.291503
54 3.317865 5.135116 5.025177
55 5.040239 3.325053 5.048258
56 4.966078 5.284289 3.338177
57 6.692527 3.294893 3.297400
58 6.661295 5.102529 5.026555
59 8.338960 3.307444 5.055387
60 8.300904 4.790488 3.341443
61 0.005844 6.649631 3.316063
62 -0.037998 8.346031 5.015046
63 1.644178 6.656713 5.050589
64 1.597781 8.388916 3.342806
65 3.368503 6.627917 3.282104
66 3.323448 8.367983 5.026820
67 5.068527 6.655899 5.057035
68 4.965473 8.395268 3.343189
69 6.690468 6.629007 3.285102
70 6.659026 8.370429 5.021500
71 8.344407 6.632859 5.073099
72 8.294866 8.297361 3.237418
73 0.008920 -0.011817 6.684315
74 -0.015499 1.707459 8.335568
75 1.683085 -0.041861 8.342712
76 1.617550 1.720551 6.685624
77 3.366039 -0.226743 6.660610
78 3.315604 1.774274 8.339402
79 5.020122 -0.044323 8.335072
80 4.986407 1.813110 6.681458
81 6.690098 -0.252159 6.655301
82 6.666980 1.742658 8.335235
83 8.344153 -0.157231 8.355490
84 8.315019 1.528599 6.682142
85 0.005745 3.227428 6.656070
86 -0.004204 5.031250 8.335702
87 1.684701 3.322577 8.359445
88 1.638370 5.233467 6.682176
89 3.228599 3.289752 6.628006
90 3.329698 5.094282 8.334133
91 5.034564 3.323440 8.358573
92 4.977726 5.138716 6.685047
93 6.691050 3.291971 6.629493
94 6.661482 5.107257 8.331685
95 8.345351 3.305031 8.373672
96 8.299853 4.856001 6.684021
97 0.008153 6.654084 6.658106
98 -0.008113 8.344989 8.338287
99 1.685217 6.657339 8.365729
100 1.624932 8.395371 6.682288
101 3.350635 6.629049 6.629185
102 3.309554 8.368576 8.336911
103 5.048751 6.653198 8.367209
104 4.956960 8.399815 6.684319
105 6.689531 6.626687 6.626240
106 6.651279 8.376932 8.334129
107 8.344153 6.633723 8.386757
108 8.344870 8.341664 6.673312
ITEM: TIMESTEP
 57
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.013969 0.003464 0.027372
2 -0.008083 1.725161 1.661313
3 1.688691 -0.068502 1.682121
4 1.662554 1.731451 0.006794
5 3.341121 -0.087873 0.003887
6 3.337776 1.746151 1.675008
7 5.020439 -0.066827 1.682914
8 4.999829 1.728379 0.005933
9 6.688017 -0.070805 0.001494
10 6.667443 1.748006 1.671443
11 8.337218 -0.181982 1.704064
12 8.325693 1.617892 0.002642
13 0.006715 3.244093 -0.003891
14 0.009389 5.013610 1.677436
15 1.682686 3.321561 1.711630
16 1.665520 5.048121 0.008018
17 3.350033 3.318064 -0.026152
18 3.323004 5.054981 1.680984
19 5.023387 3.320527 1.709576
20 4.991795 5.089966 0.003640
21 6.688584 3.320650 -0.021453
22 6.670872 5.051253 1.679734
23 8.338981 3.297864 1.732640
24 8.320974 4.959550 -0.000986
25 0.006521 6.677307 0.006102
26 -0.018189 8.348914 1.680699
27 1.683812 6.659020 1.710909
28 1.609350 8.376667 0.005025
29 3.354112 6.652806 -0.027587
30 3.315008 8.374559 1.686994
31 5.047908 6.652662 1.717935
32 4.981364 8.377548 0.005010
33 6.689653 6.655964 -0.024860
34 6.650450 8.377365 1.683852
35 8.345989 6.632832 1.735875
36 8.310107 8.308501 -0.077087
37 0.010110 -0.001092 3.351369
38 -0.010389 1.719228 5.000464
39 1.671413 -0.059779 5.028264
40 1.649448 1.800787 3.345562
41 3.349825 -0.230105 3.314232
42 3.330631 1.753919 5.011848
43 5.027742 -0.037900 5.030906
44 4.983422 1.808469 3.341094
45 6.690420 -0.234051 3.316093
46 6.668983 1.744896 5.026610
47 8.339141 -0.125050 5.046256
48 8.316333 1.532865 3.340386
49 0.004747 3.294139 3.319110
50 -0.008934 5.052166 5.020646
51 1.684551 3.328469 5.042437
52 1.607750 5.076244 3.344776
53 3.349834 3.289679 3.288882
54 3.316669 5.142190 5.026178
55 5.042080 3.324393 5.050488
56 4.963946 5.299681 3.338299
57 6.693393 3.292629 3.295077
58 6.660635 5.107960 5.027586
59 8.338732 3.305848 5.058249
60 8.298573 4.778168 3.341584
61 0.006205 6.648221 3.314855
62 -0.039306 8.345940 5.015617
63 1.643430 6.655632 5.053097
64 1.594538 8.391247 3.343017
65 3.369923 6.625261 3.279116
66 3.322779 8.369116 5.027866
67 5.071270 6.654779 5.059703
68 4.963278 8.397929 3.343401
69 6.691283 6.626435 3.282241
70 6.658152 8.371757 5.022437
71 8.344419 6.630611 5.076746
72 8.292309 8.294842 3.232091
73 0.009420 -0.012330 6.684773
74 -0.016114 1.709325 8.335023
75 1.683872 -0.044727 8.342789
76 1.615341 1.723206 6.686296
77 3.367359 -0.239564 6.659705
78 3.314539 1.780135 8.339091
79 5.020893 -0.046540 8.334704
80 4.985298 1.820179 6.681932
81 6.690887 -0.266407 6.654185
82 6.666532 1.747057 8.334839
83 8.344153 -0.165735 8.356142
84 8.313358 1.520490 6.682500
85 0.006086 3.222689 6.655002
86 -0.004560 5.032853 8.335312
87 1.685527 3.321803 8.360229
88 1.636699 5.246817 6.682604
89 3.224429 3.287232 6.625493
90 3.329183 5.099212 8.333702
91 5.036253 3.322689 8.359389
92 4.976038 5.147873 6.685589
93 6.691879 3.289552 6.627060
94 6.660809 5.112844 8.331166
95 8.345378 3.303284 8.375402
96 8.297480 4.846370 6.684422
97 0.008553 6.652945 6.657301
98 -0.008529 8.345040 8.337930
99 1.686027 6.656263 8.366882
100 1.622704 8.398042 6.682680
101 3.351395 6.626405 6.626543
102 3.307956 8.369901 8.336520
103 5.050963 6.652046 8.368421
104 4.954326 8.402844 6.684759
105 6.690330 6.624042 6.623592
106 6.649972 8.378684 8.333682
107 8.344160 6.631473 8.389040
108 8.344890 8.341627 6.673281
ITEM: TIMESTEP
 58
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.014595 0.003808 0.028717
2 -0.008458 1.727746 1.660910
3 1.689831 -0.072801 1.682822
4 1.662277 1.734456 0.007188
5 3.341509 -0.092994 0.003953
6 3.337691 1.749957 1.675310
7 5.021461 -0.070829 1.683780
8 4.999602 1.731332 0.006250
9 6.688791 -0.074968 0.001610
10 6.667198 1.751644 1.671729
11 8.336840 -0.192157 1.705880
12 8.324710 1.614664 0.002773
13 0.007082 3.238861 -0.004065
14 0.009736 5.014030 1.677909
15 1.683456 3.320661 1.713975
16 1.665290 5.050991 0.008347
17 3.350794 3.316986 -0.027523
18 3.322204 5.058312 1.681668
19 5.024219 3.319632 1.711870
20 4.991068 5.095114 0.003874
21 6.689369 3.319712 -0.022645
22 6.670534 5.054350 1.680375
23 8.338695 3.295805 1.735947
24 8.319715 4.956309 -0.000941
25 0.006894 6.677355 0.006342
26 -0.019014 8.349258 1.681291
27 1.684590 6.658073 1.713253
28 1.606763 8.378440 0.005214
29 3.354932 6.651623 -0.029052
30 3.313642 8.376353 1.687942
31 5.049935 6.651424 1.720577
32 4.979908 8.379435 0.005192
33 6.690466 6.654864 -0.026256
34 6.648977 8.379271 1.684741
35 8.346023 6.630488 1.739583
36 8.308198 8.306555 -0.081270
37 0.010592 -0.000937 3.352077
38 -0.010780 1.721636 5.000147
39 1.671771 -0.063182 5.029530
40 1.648472 1.807138 3.345979
41 3.350560 -0.243257 3.312812
42 3.330141 1.758800 5.012085
43 5.028883 -0.039684 5.032165
44 4.982223 1.815148 3.341413
45 6.691230 -0.247316 3.314926
46 6.668558 1.749521 5.027667
47 8.339006 -0.131979 5.048555
48 8.314843 1.526494 3.340530
49 0.005079 3.292167 3.318064
50 -0.009378 5.054661 5.021334
51 1.685378 3.327873 5.044536
52 1.604970 5.081320 3.345222
53 3.350575 3.287066 3.286161
54 3.315434 5.149499 5.027216
55 5.043976 3.323706 5.052800
56 4.961738 5.315633 3.338429
57 6.694288 3.290281 3.292664
58 6.659954 5.113585 5.028652
59 8.338499 3.304196 5.061221
60 8.296155 4.765374 3.341728
61 0.006580 6.646759 3.313600
62 -0.040630 8.345838 5.016210
63 1.642678 6.654508 5.055700
64 1.591205 8.393657 3.343233
65 3.371383 6.622505 3.276016
66 3.322091 8.370285 5.028949
67 5.074081 6.653615 5.062467
68 4.961003 8.400683 3.343619
69 6.692128 6.623766 3.279274
70 6.657247 8.373131 5.023410
71 8.344432 6.628285 5.080525
72 8.289663 8.292234 3.226575
73 0.009938 -0.012856 6.685243
74 -0.016739 1.711243 8.334455
75 1.684687 -0.047720 8.342874
76 1.613076 1.725953 6.686994
77 3.368716 -0.252867 6.658766
78 3.313442 1.786207 8.338767
79 5.021691 -0.048828 8.334327
80 4.984150 1.827448 6.682429
81 6.691704 -0.281193 6.653026
82 6.666065 1.751634 8.334429
83 8.344152 -0.174540 8.356817
84 8.311635 1.512070 6.682871
85 0.006438 3.217830 6.653892
86 -0.004932 5.034522 8.334908
87 1.686381 3.321000 8.361042
88 1.634971 5.260678 6.683049
89 3.220186 3.284620 6.622887
90 3.328649 5.104321 8.333257
91 5.037995 3.321909 8.360235
92 4.974283 5.157455 6.686150
93 6.692738 3.287046 6.624539
94 6.660113 5.118628 8.330631
95 8.345404 3.301476 8.377197
96 8.295022 4.836327 6.684835
97 0.008967 6.651766 6.656469
98 -0.008958 8.345092 8.337559
99 1.686864 6.655145 8.368077
100 1.620402 8.400804 6.683086
101 3.352182 6.623658 6.623799
102 3.306306 8.371271 8.336115
103 5.053239 6.650852 8.369676
104 4.951599 8.405983 6.685215
105 6.691157 6.621298 6.620847
106 6.648617 8.380497 8.333219
107 8.344167 6.629143 8.391404
108 8.344910 8.341589 6.673250
ITEM: TIMESTEP
 59
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.015239 0.004173 0.030104
2 -0.008841 1.730405 1.660491
3 1.691012 -0.077277 1.683545
4 1.661992 1.737549 0.007597
5 3.341918 -0.098313 0.004018
6 3.337599 1.753874 1.675621
7 5.022542 -0.074993 1.684680
8 4.999370 1.734373 0.006580
9 6.689592 -0.079285 0.001731
10 6.666950 1.755385 1.672030
11 8.336449 -0.202700 1.707758
12 8.323689 1.611296 0.002909
13 0.007461 3.233431 -0.004247
14 0.010090 5.014468 1.678402
15 1.684253 3.319727 1.716406
16 1.665047 5.054002 0.008684
17 3.351583 3.315871 -0.028942
18 3.321375 5.061799 1.682379
19 5.025079 3.318704 1.714248
20 4.990316 5.100463 0.004116
21 6.690184 3.318742 -0.023879
22 6.670180 5.057598 1.681042
23 8.338396 3.293679 1.739364
24 8.318412 4.952925 -0.000893
25 0.007281 6.677403 0.006588
26 -0.019862 8.349616 1.681904
27 1.685395 6.657088 1.715684
28 1.604106 8.380275 0.005408
29 3.355780 6.650396 -0.030571
30 3.312223 8.378217 1.688924
31 5.052019 6.650140 1.723314
32 4.978395 8.381392 0.005378
33 6.691309 6.653722 -0.027703
34 6.647447 8.381250 1.685665
35 8.346057 6.628062 1.743424
36 8.306219 8.304540 -0.085602
37 0.011089 -0.000769 3.352811
38 -0.011178 1.724115 4.999818
39 1.672148 -0.066715 5.030844
40 1.647465 1.813666 3.346413
41 3.351322 -0.256914 3.311335
42 3.329632 1.763873 5.012330
43 5.030060 -0.041519 5.033464
44 4.980983 1.822014 3.341747
45 6.692067 -0.261095 3.313715
46 6.668114 1.754333 5.028760
47 8.338869 -0.139150 5.050937
48 8.313302 1.519967 3.340678
49 0.005425 3.290135 3.316976
50 -0.009834 5.057244 5.022046
51 1.686234 3.327251 5.046715
52 1.602105 5.086695 3.345683
53 3.351342 3.284354 3.283337
54 3.314158 5.157045 5.028290
55 5.045927 3.322989 5.055194
56 4.959454 5.332154 3.338565
57 6.695215 3.287849 3.290159
58 6.659251 5.119408 5.029756
59 8.338260 3.302488 5.064304
60 8.293650 4.752093 3.341875
61 0.006969 6.645242 3.312299
62 -0.041969 8.345723 5.016825
63 1.641924 6.653339 5.058400
64 1.587779 8.396149 3.343456
65 3.372883 6.619645 3.272803
66 3.321383 8.371490 5.030071
67 5.076961 6.652407 5.065328
68 4.958648 8.403533 3.343844
69 6.693002 6.620998 3.276197
70 6.656311 8.374552 5.024421
71 8.344445 6.625878 5.084438
72 8.286926 8.289534 3.220866
73 0.010472 -0.013396 6.685724
74 -0.017375 1.713214 8.333863
75 1.685530 -0.050842 8.342966
76 1.610755 1.728796 6.687718
77 3.370111 -0.266661 6.657792
78 3.312312 1.792493 8.338430
79 5.022517 -0.051186 8.333942
80 4.982962 1.834919 6.682948
81 6.692548 -0.296527 6.651826
82 6.665580 1.756395 8.334006
83 8.344151 -0.183649 8.357514
84 8.309848 1.503333 6.683253
85 0.006802 3.212848 6.652739
86 -0.005322 5.036257 8.334492
87 1.687265 3.320166 8.361883
88 1.633185 5.275060 6.683511
89 3.215871 3.281912 6.620187
90 3.328094 5.109610 8.332799
91 5.039792 3.321100 8.361112
92 4.972460 5.167472 6.686729
93 6.693626 3.284451 6.621929
94 6.659395 5.124611 8.330080
95 8.345431 3.299604 8.379057
96 8.292476 4.825864 6.685260
97 0.009394 6.650545 6.655609
98 -0.009401 8.345144 8.337174
99 1.687729 6.653983 8.369315
100 1.618024 8.403658 6.683507
101 3.352998 6.620808 6.620952
102 3.304605 8.372689 8.335695
103 5.055578 6.649616 8.370975
104 4.948776 8.409232 6.685685
105 6.692014 6.618453 6.618001
106 6.647214 8.382374 8.332742
107 8.344174 6.626730 8.393849
108 8.344931 8.341551 6.673220
ITEM: TIMESTEP
 60
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.015901 0.004557 0.031535
2 -0.009233 1.733138 1.660056
3 1.692236 -0.081935 1.684290
4 1.661700 1.740732 0.008024
5 3.342347 -0.103833 0.004082
6 3.337501 1.757904 1.675942
7 5.023679 -0.079321 1.685614
8 4.999134 1.737502 0.006924
9 6.690422 -0.083761 0.001857
10 6.666697 1.759229 1.672345
11 8.336042 -0.213618 1.709697
12 8.322631 1.607787 0.003050
13 0.007854 3.227803 -0.004436
14 0.010451 5.014924 1.678914
15 1.685077 3.318760 1.718922
16 1.664791 5.057156 0.009030
17 3.352400 3.314717 -0.030407
18 3.320517 5.065447 1.683118
19 5.025966 3.317741 1.716710
20 4.989539 5.106017 0.004365
21 6.691027 3.317740 -0.025156
22 6.669809 5.061000 1.681735
23 8.338085 3.291486 1.742895
24 8.317064 4.949396 -0.000842
25 0.007682 6.677452 0.006841
26 -0.020733 8.349990 1.682537
27 1.686227 6.656063 1.718205
28 1.601379 8.382174 0.005608
29 3.356654 6.649126 -0.032143
30 3.310749 8.380153 1.689941
31 5.054159 6.648809 1.726148
32 4.976826 8.383421 0.005569
33 6.692181 6.652539 -0.029203
34 6.645858 8.383304 1.686623
35 8.346090 6.625553 1.747402
36 8.304170 8.302453 -0.090086
37 0.011600 -0.000588 3.353570
38 -0.011583 1.726664 4.999475
39 1.672546 -0.070380 5.032206
40 1.646424 1.820373 3.346865
41 3.352110 -0.271087 3.309801
42 3.329105 1.769141 5.012585
43 5.031274 -0.043406 5.034805
44 4.979700 1.829069 3.342098
45 6.692933 -0.275397 3.312458
46 6.667651 1.759337 5.029891
47 8.338730 -0.146569 5.053403
48 8.311712 1.513284 3.340830
49 0.005783 3.288040 3.315846
50 -0.010302 5.059916 5.022781
51 1.687119 3.326601 5.048976
52 1.599153 5.092380 3.346159
53 3.352136 3.281541 3.280409
54 3.312842 5.164831 5.029401
55 5.047934 3.322243 5.057672
56 4.957091 5.349256 3.338710
57 6.696173 3.285330 3.287560
58 6.658526 5.125431 5.030897
59 8.338015 3.300723 5.067500
60 8.291056 4.738315 3.342025
61 0.007374 6.643670 3.310949
62 -0.043323 8.345597 5.017463
63 1.641169 6.652126 5.061199
64 1.584259 8.398724 3.343686
65 3.374423 6.616680 3.269474
66 3.320656 8.372732 5.031231
67 5.079909 6.651153 5.068289
68 4.956209 8.406481 3.344074
69 6.693905 6.618129 3.273009
70 6.655343 8.376020 5.025471
71 8.344459 6.623390 5.088488
72 8.284094 8.286740 3.214961
73 0.011024 -0.013950 6.686216
74 -0.018021 1.715239 8.333245
75 1.686402 -0.054095 8.343065
76 1.608377 1.731735 6.688469
77 3.371545 -0.280957 6.656782
78 3.311150 1.798996 8.338079
79 5.023371 -0.053617 8.333548
80 4.981733 1.842595 6.683490
81 6.693421 -0.312419 6.650583
82 6.665076 1.761341 8.333570
83 8.344149 -0.193068 8.358233
84 8.307997 1.494273 6.683648
85 0.007178 3.207743 6.651542
86 -0.005730 5.038062 8.334062
87 1.688179 3.319300 8.362754
88 1.631341 5.289970 6.683990
89 3.211483 3.279107 6.617390
90 3.327519 5.115084 8.332325
91 5.041645 3.320262 8.362020
92 4.970569 5.177933 6.687327
93 6.694546 3.281764 6.619227
94 6.658654 5.130798 8.329513
95 8.345458 3.297669 8.380983
96 8.289841 4.814969 6.685698
97 0.009836 6.649281 6.654722
98 -0.009856 8.345197 8.336774
99 1.688622 6.652776 8.370598
100 1.615569 8.406606 6.683943
101 3.353842 6.617851 6.617998
102 3.302852 8.374153 8.335259
103 5.057981 6.648335 8.372319
104 4.945856 8.412594 6.686172
105 6.692900 6.615504 6.615052
106 6.645762 8.384315 8.332249
107 8.344181 6.624235 8.396378
108 8.344951 8.341513 6.673189
ITEM: TIMESTEP
 61
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.016580 0.004962 0.033009
2 -0.009633 1.735947 1.659603
3 1.693502 -0.086777 1.685057
4 1.661400 1.744005 0.008467
5 3.342798 -0.109559 0.004146
6 3.337398 1.762046 1.676271
7 5.024876 -0.083818 1.686582
8 4.998894 1.740721 0.007282
9 6.691281 -0.088398 0.001988
10 6.666441 1.763178 1.672676
11 8.335620 -0.224916 1.711698
12 8.321534 1.604132 0.003194
13 0.008259 3.221978 -0.004632
14 0.010819 5.015401 1.679446
15 1.685930 3.317758 1.721527
16 1.664521 5.060458 0.009385
17 3.353245 3.313526 -0.031921
18 3.319629 5.069259 1.683886
19 5.026881 3.316743 1.719259
20 4.988736 5.111779 0.004622
21 6.691899 3.316703 -0.026476
22 6.669420 5.064559 1.682456
23 8.337760 3.289226 1.746540
24 8.315670 4.945718 -0.000788
25 0.008097 6.677501 0.007101
26 -0.021628 8.350378 1.683190
27 1.687087 6.654998 1.720818
28 1.598581 8.384137 0.005812
29 3.357557 6.647812 -0.033771
30 3.309219 8.382161 1.690993
31 5.056357 6.647430 1.729082
32 4.975199 8.385523 0.005766
33 6.693083 6.651313 -0.030757
34 6.644209 8.385434 1.687618
35 8.346123 6.622958 1.751518
36 8.302049 8.300293 -0.094725
37 0.012127 -0.000395 3.354354
38 -0.011994 1.729285 4.999119
39 1.672964 -0.074179 5.033617
40 1.645350 1.827260 3.347336
41 3.352925 -0.285787 3.308209
42 3.328559 1.774609 5.012848
43 5.032526 -0.045347 5.036187
44 4.978372 1.836316 3.342465
45 6.693827 -0.290233 3.311154
46 6.667168 1.764536 5.031060
47 8.338588 -0.154238 5.055953
48 8.310071 1.506443 3.340987
49 0.006155 3.285881 3.314671
50 -0.010783 5.062679 5.023540
51 1.688034 3.325923 5.051321
52 1.596113 5.098384 3.346648
53 3.352956 3.278626 3.277372
54 3.311485 5.172861 5.030550
55 5.049997 3.321466 5.060237
56 4.954649 5.366948 3.338861
57 6.697163 3.282722 3.284864
58 6.657778 5.131658 5.032075
59 8.337764 3.298900 5.070812
60 8.288371 4.724028 3.342178
61 0.007792 6.642042 3.309550
62 -0.044690 8.345458 5.018125
63 1.640411 6.650865 5.064099
64 1.580643 8.401383 3.343921
65 3.376004 6.613606 3.266026
66 3.319907 8.374013 5.032430
67 5.082927 6.649851 5.071352
68 4.953686 8.409530 3.344312
69 6.694839 6.615157 3.269707
70 6.654343 8.377536 5.026559
71 8.344472 6.620818 5.092676
72 8.281168 8.283851 3.208855
73 0.011594 -0.014518 6.686720
74 -0.018677 1.717319 8.332602
75 1.687303 -0.057482 8.343173
76 1.605940 1.734774 6.689247
77 3.373018 -0.295764 6.655737
78 3.309954 1.805720 8.337715
79 5.024254 -0.056121 8.333146
80 4.980463 1.850478 6.684056
81 6.694322 -0.328882 6.649296
82 6.664553 1.766477 8.333119
83 8.344147 -0.202801 8.358976
84 8.306079 1.484883 6.684055
85 0.007566 3.202513 6.650299
86 -0.006155 5.039935 8.333618
87 1.689123 3.318402 8.363655
88 1.629438 5.305420 6.684487
89 3.207023 3.276202 6.614495
90 3.326923 5.120744 8.331837
91 5.043554 3.319393 8.362961
92 4.968606 5.188850 6.687944
93 6.695497 3.278985 6.616432
94 6.657891 5.137190 8.328929
95 8.345485 3.295669 8.382978
96 8.287116 4.803634 6.686149
97 0.010292 6.647974 6.653805
98 -0.010326 8.345251 8.336360
99 1.689544 6.651524 8.371926
100 1.613036 8.409650 6.684394
101 3.354715 6.614786 6.614936
102 3.301045 8.375666 8.334809
103 5.060449 6.647010 8.373708
104 4.942837 8.416071 6.686674
105 6.693817 6.612450 6.611999
106 6.644260 8.386322 8.331741
107 8.344188 6.621656 8.398991
108 8.344971 8.341475 6.673158
ITEM: TIMESTEP
 62
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.017279 0.005389 0.034527
2 -0.010041 1.738833 1.659133
3 1.694811 -0.091807 1.685846
4 1.661092 1.747370 0.008928
5 3.343270 -0.115493 0.004208
6 3.337289 1.766304 1.676610
7 5.026131 -0.088487 1.687584
8 4.998650 1.744031 0.007655
9 6.692170 -0.093199 0.002125
10 6.666180 1.767233 1.673021
11 8.335182 -0.236601 1.713762
12 8.320398 1.600329 0.003342
13 0.008677 3.215953 -0.004836
14 0.011193 5.015901 1.679999
15 1.686810 3.316721 1.724221
16 1.664236 5.063909 0.009748
17 3.354120 3.312295 -0.033485
18 3.318711 5.073239 1.684683
19 5.027825 3.315709 1.721897
20 4.987907 5.117751 0.004886
21 6.692802 3.315634 -0.027840
22 6.669014 5.068279 1.683206
23 8.337422 3.286896 1.750303
24 8.314230 4.941889 -0.000730
25 0.008527 6.677551 0.007367
26 -0.022546 8.350783 1.683865
27 1.687975 6.653890 1.723524
28 1.595710 8.386166 0.006022
29 3.358488 6.646452 -0.035455
30 3.307632 8.384244 1.692081
31 5.058611 6.646002 1.732118
